@id,@metadata.@collection,DueDate,DeliveryDate,Payment.DueDate,Payment.Method,Payment.Status,Products,Address.Street,Address.StreetNo,Address.City,Address.PostCode
820193fc-c43e-5af0-8e4c-7e12e23e2510,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Owizul Lane,](98k)9i,Zuzliheb,04340
3fa08b07-7312-5c19-aa5d-aa538a8e8f57,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Nuczid Center,&x#9OOly9S%B)J,Fimuma,72946
51e8ad1e-61a2-5635-ac1a-d3748535e805,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Sizno Heights,wW1UJ2&JDOqrJz0),Libiere,59955
dc6dffa6-80e6-53a0-8b8d-8d470f6ca75d,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Pehov Manor,BOiy&r$xlnz,Oduhugmek,74827
bd0a045f-6680-53b2-b077-05fca0eae09a,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Booko View,*qauDp)FF8(V,Codimih,10579
f2206f42-54cb-5c2b-86a3-ec66e10aa7ec,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Ukca Junction,kGQrP4068R5&c%,Zuhize,69770
6977f6d0-ad01-5327-825b-1763c05ef75b,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Pewwam Pike,h)VgsvygAKc3S3,Ruriwsov,54034
e83aa89f-3236-5944-82d9-d6527f92187a,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Jarmez Road,VS6vuA(q$J[hCh@c3Nv,Jaigakes,37235
789ee60d-f089-5ab3-8a0e-296e9286e0ec,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Mogren Loop,4jcK14bKw3r6@r^uRl],Mobutsuh,16461
6e31efb6-c235-5a6b-8066-b6b8f42254ed,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Jekah Street,Pn#%WpfbMJ%WVS3caF*n,Woawjip,32110
c18a1c60-4a1f-583a-bbba-8bef19b998ad,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Fochit Turnpike,2J4fV8pgIsHGlTrqc,Pasagna,65381
efe353de-a639-5187-8d0f-7d6241cf2a2d,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Kisso Pike,R9*$ofxqXuw,Tebokef,02531
1c2d7c65-e245-5396-9d62-ebd8b3ed8ef9,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Nipa Boulevard,(da%*,Iwahozwah,13278
7640e40d-5eb5-5709-a563-809f3fdf0cc6,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Bilra Grove,l$fdq5XPP(jWJI,Zawioku,08039
6a256a98-c258-5b2c-9eb0-517db3862e94,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Pefim Plaza,hRpn^Uu7b*Q,Mawanugi,28965
167b8ceb-9d8e-59b4-9c9f-0abf204f7bf2,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Pazel Court,BTYOo,Jolaok,29790
e33d3837-cfc3-585d-a35e-5bab5a61b998,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Tavu Boulevard,Xvh5zvGO,Epohajal,79682
