@id,@metadata.@collection,DueDate,DeliveryDate,Payment.DueDate,Payment.Method,Payment.Status,Products,Address.Street,Address.StreetNo,Address.City,Address.PostCode
a61e6b25-8e6c-529a-aba4-070c230767d9,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Cohuz Ridge,G%[6ntgy8]Z$M4C,Uzhaciw,64537
22c1b3cc-2903-5b65-9159-4e7856932cf7,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Vopoh Manor,moc5rF1v[%G(V,Piteodu,52783
fbee0c89-be75-5ddd-a6e2-8147a144173b,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Zalguk Point,!gg6SA,Nirevten,99603
b64d5e2a-7be1-5d3f-a669-b13889845f60,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Tosu Grove,TY3*mWcEYql,Agusuv,51611
ef241be5-a5be-5b01-bdc6-db7097551b10,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Pigne Glen,zW2a0@c@A@4$J,Idatpuk,61018
26172b84-3db7-514c-835d-4a148d011139,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Jamsuj Pike,rjtvfLR4TU(NYAJP,Setcisa,07872
275c5c1f-92d8-501f-a4e3-bb6e80765036,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Dowset Terrace,yFS4mJtlf6,Tirawcob,32831
86cc3f22-81db-5846-85ad-b0726144b3d8,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Devkoc Road,M1jtIA!TSAGYX,Bewpege,44703
21e34bd9-2333-58dc-a9c8-3500d53e78e6,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Hidsej Avenue,3419T0TverEmC,Suvbahma,55835
cee0d0bd-0c40-5001-9b17-10ba513e0fdf,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Jowif Terrace,ytRhZH6,Serdape,16691
56569b14-285b-59b2-b7cd-0c461222f0c3,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Rejber Highway,806S31Hk$e,Tukpirir,29733
65641948-e040-5e71-bc21-a65692dbbc9a,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Potme Terrace,n%Aomlv,Okjihiha,76592
59cdb964-31f3-503e-b5ff-8b6f7c8cabcc,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Hugfes Grove,rKFQZ,Binezko,56013
069f0b07-f78b-52ef-8d40-3b9afa58a4d9,Order,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,2022-12-30T20:11:29.1462647,0,0,[],Lemjof Manor,ZyGg!bH#m,Dufanuc,70558
